ID	S_CONJ	S_HELPV	S_PRON	S_QUANT	S_QWORDS	S_TIME	S_WF_N	S_WF_V	S_WE_N	S_WE_V	S_COMPLX	D_AGE_C	D_MALE	D_AGE_C2
134442	0.5	1	0.88	0.941176470588235	0.857142857142857	0.833333333333333	0.8	0.9	0.0714285714285714	0.451612903225806	0.891891891891892	5	-1	25
134443	0.166666666666667	0.142857142857143	0.44	0.176470588235294	0.857142857142857	0.0833333333333333	0.2	0.15	0	0	0.405405405405405	5	1	25
134444	0.166666666666667	0.238095238095238	0.4	0.705882352941177	0.857142857142857	0.833333333333333	0.6	0.35	0	0	0.459459459459459	5	-1	25
134445	1	1	0.92	0.882352941176471	1	1	0.8	0.8	0	0.0645161290322581	1	5	1	25
134446	0.5	1	1	1	1	0.916666666666667	0.8	0.8	0.142857142857143	0.0645161290322581	1	5	-1	25
134447	0.333333333333333	0.80952380952381	1	0.470588235294118	0.714285714285714	0.416666666666667	0.6	0.65	0	0	0.891891891891892	5	-1	25
134448	1	0.952380952380952	1	1	1	1	1	1	0.285714285714286	0.645161290322581	0.756756756756757	5	-1	25
134449	0	0.19047619047619	0.2	0.117647058823529	0	0.0833333333333333	0	0	0	0.0967741935483871	0.0810810810810811	5	1	25
134450	0.666666666666667	0.428571428571429	0.44	0.470588235294118	0.571428571428571	0.333333333333333	0.2	0.4	0	0	0.918918918918919	5	1	25
134451	0.5	0.666666666666667	0.72	0.705882352941177	0.714285714285714	1	0.4	0.45	0.357142857142857	0.193548387096774	0.27027027027027	5	1	25
134452	0.333333333333333	0.285714285714286	0.4	0.352941176470588	0.285714285714286	0.416666666666667	0.2	0.05	0	0	0.216216216216216	5	-1	25
134453	0.166666666666667	0.238095238095238	0.28	0.411764705882353	0.428571428571429	0.333333333333333	0.4	0.2	0.428571428571429	0	0.648648648648649	5	-1	25
134454	1	0.857142857142857	1	0.823529411764706	0.857142857142857	1	1	0.85	0.142857142857143	0.258064516129032	1	5	-1	25
134455	0.333333333333333	0.285714285714286	0.4	0.647058823529412	0.142857142857143	1	0.4	0.05	0	0	0.297297297297297	5	-1	25
134456	1	0.80952380952381	0.96	0.588235294117647	0.714285714285714	1	1	0.75	0.142857142857143	0.032258064516129	0.972972972972973	5	-1	25
134457	1	1	1	1	1	1	0.4	0.5	0	0	0.567567567567568	5	-1	25
134458	0.833333333333333	1	0.92	1	0.714285714285714	1	0.4	0.9	0	0.0967741935483871	1	5	-1	25
134459	1	1	1	1	1	1	0.8	0.6	0.357142857142857	0	0.540540540540541	5	1	25
134460	0	0	0.32	0	0	0	0.2	0.15	0.0714285714285714	0	0.135135135135135	5	-1	25
134461	0.166666666666667	0.428571428571429	0.48	0.411764705882353	0.285714285714286	0.583333333333333	0.6	0.4	0	0	0.594594594594595	5	1	25
134462	0.166666666666667	0.333333333333333	0.44	0.529411764705882	0.571428571428571	0.583333333333333	0.4	0.4	0	0.032258064516129	0.432432432432432	5	-1	25
134463	0	0.476190476190476	0.28	0.352941176470588	0.285714285714286	0.0833333333333333	0.4	0.05	0.5	0.0967741935483871	0.486486486486487	5	1	25
134464	0.333333333333333	0.761904761904762	0.56	0.882352941176471	0.285714285714286	0.916666666666667	0.8	0.6	0	0.0967741935483871	0.864864864864865	5	-1	25
134465	0	0.142857142857143	0.16	0.117647058823529	0.142857142857143	0.0833333333333333	0.4	0.1	0	0.0645161290322581	0.162162162162162	5	1	25
134466	0	0.333333333333333	0.28	0.411764705882353	0.428571428571429	0.666666666666667	0.8	0.6	0	0	0.378378378378378	5	-1	25
134467	0	0	0.04	0.0588235294117647	0	0	0.4	0	0	0	0	5	1	25
134468	1	0.714285714285714	0.88	0.941176470588235	1	0.916666666666667	0.8	0.5	0.142857142857143	0	0.945945945945946	5	-1	25
134469	0.333333333333333	0.285714285714286	0.36	0.529411764705882	0.285714285714286	0.166666666666667	0.4	0.5	0	0	0.297297297297297	5	1	25
134470	0.166666666666667	0.19047619047619	0.4	0.470588235294118	0	0.916666666666667	0	0.15	0	0.0645161290322581	0.513513513513513	5	1	25
