"Identifiers","demographics,CandID","demographics_eligibility,parent1_education","demographics_eligibility,parent1_relationship","demographics_eligibility,parent2_education","demographics_eligibility,parent2_relationship"
"JE000383_04,bcpBSLERP3x5m","176427","grad","biological_mother","college","non_specified"
"JE000383_04,bcpBSLERP3x8m","176427",".",".",".","."
"JE000383_04,bcpCFP","176427",".",".",".","."
"JE000385_01,bcpParent2Visit1","473796",".",".",".","."
"JE000385_02,bcpBiomomVisit1","749507",".",".",".","."
"JE000385_04,bcpBSLERP4x12m","557806",".",".",".","."
"JE000385_04,bcpBSLERP4x15m","557806",".",".",".","."
"JE000385_04,bcpBSLERP4x18m","557806",".",".",".","."
"JE000385_04,bcpBSLERP4x24m","557806",".",".",".","."
"JE000385_04,bcpBSLERP4x30m","557806",".",".",".","."
"JE000385_04,bcpBSLERP4x6m","557806","grad","biological_mother","some_college","non_specified"
"JE000385_04,bcpBSLERP4x9m","557806",".",".",".","."
"JE000395_02,bcpBiomomVisit1","324799",".",".",".","."
"JE000398_01,bcpParent2Visit1","803304",".",".",".","."
"JE000398_02,bcpBiomomVisit1","765488",".",".",".","."
"JE000398_03,bcpBSLERP2x10m","277066",".",".",".","."
"JE000398_03,bcpBSLERP2x13m","277066",".",".",".","."
"JE000398_03,bcpBSLERP2x24m","277066",".",".",".","."
"JE000398_03,bcpBSLERP2x4m","277066","some_college","biological_mother","college","biological_father"
"JE000398_03,bcpBSLERP2x7m","277066",".",".",".","."
"JE000418_01,bcpParent2Visit1","464439",".",".",".","."
"JE000418_02,bcpBiomomVisit1","346853",".",".",".","."
"JE000418_04,bcpBSLERP2x10m","960432",".",".",".","."
"JE000418_04,bcpBSLERP2x13m","960432",".",".",".","."
"JE000418_04,bcpBSLERP2x18m","960432",".",".",".","."
"JE000418_04,bcpBSLERP2x24m","960432",".",".",".","."
"JE000418_04,bcpBSLERP2x30m","960432",".",".",".","."
