ID	L_ACTION	L_ANIMAL	L_BODYP	L_CLOTH	L_DESCRB	L_FOOD	L_ROOMS	L_GAMES	L_HOUSEH	L_LOCATE	L_OUTSDE	L_PEOPLE	L_PLACES	L_SOUNDS	L_TOYS	L_VEHICL	D_AGE_C	D_MALE	D_AGE_C2
133758	0.00970873786407767	0.0697674418604651	0	0	0.0317460317460317	0.0294117647058824	0	0.32	0.04	0	0	0.241379310344828	0	0.166666666666667	0.0555555555555556	0	-7	-1	49
133759	0.0388349514563107	0.0697674418604651	0.222222222222222	0.178571428571429	0.158730158730159	0.102941176470588	0.0606060606060606	0.12	0.18	0.115384615384615	0.161290322580645	0.172413793103448	0.0454545454545455	0.583333333333333	0.111111111111111	0.142857142857143	-7	-1	49
133760	0	0	0	0	0	0	0	0	0.02	0	0	0.137931034482759	0	0.166666666666667	0	0.0714285714285714	-7	-1	49
133761	0.00970873786407767	0.0697674418604651	0	0	0.0158730158730159	0	0	0.16	0	0	0	0.172413793103448	0	0.166666666666667	0.0555555555555556	0	-7	1	49
133762	0.951456310679612	0.906976744186046	0.814814814814815	0.821428571428571	0.714285714285714	0.926470588235294	0.909090909090909	1	0.82	0.5	0.774193548387097	0.586206896551724	0.681818181818182	1	0.722222222222222	0.785714285714286	-7	1	49
133763	0	0	0	0.0357142857142857	0	0.0147058823529412	0	0.04	0	0	0	0.0689655172413793	0	0.5	0	0	-7	-1	49
133764	0.00970873786407767	0.13953488372093	0	0.0714285714285714	0.0158730158730159	0.0441176470588235	0	0.2	0.06	0.0384615384615385	0.161290322580645	0.103448275862069	0	0.666666666666667	0.166666666666667	0.214285714285714	-7	1	49
133765	0.0388349514563107	0.0697674418604651	0.222222222222222	0.0357142857142857	0	0.0882352941176471	0.0303030303030303	0.4	0.08	0.115384615384615	0.161290322580645	0.241379310344828	0.0909090909090909	0.333333333333333	0.166666666666667	0.0714285714285714	-7	1	49
133766	0	0.0930232558139535	0	0	0	0.0588235294117647	0	0.12	0	0	0	0.137931034482759	0	0.166666666666667	0.222222222222222	0	-7	1	49
133767	0	0	0	0	0	0	0	0.12	0	0	0	0	0	0.25	0	0	-7	1	49
133768	0	0.116279069767442	0.037037037037037	0.0714285714285714	0	0.0441176470588235	0	0.12	0.02	0	0	0.206896551724138	0	0.0833333333333333	0.0555555555555556	0.0714285714285714	-7	-1	49
133769	0.300970873786408	0.558139534883721	0.703703703703704	0.5	0.365079365079365	0.323529411764706	0.272727272727273	0.52	0.4	0.269230769230769	0.419354838709677	0.344827586206897	0.227272727272727	1	0.444444444444444	0.357142857142857	-7	-1	49
133770	0	0.0465116279069767	0	0.0357142857142857	0.0317460317460317	0.0588235294117647	0	0.12	0.02	0	0.0645161290322581	0.103448275862069	0	0.416666666666667	0.111111111111111	0.0714285714285714	-7	1	49
133771	0	0	0.037037037037037	0	0.0158730158730159	0.0147058823529412	0	0.2	0	0	0	0.0689655172413793	0	0.333333333333333	0	0	-7	1	49
133772	0	0.116279069767442	0.111111111111111	0.0357142857142857	0.0158730158730159	0	0	0.28	0.06	0	0.032258064516129	0.103448275862069	0.0454545454545455	0.75	0.166666666666667	0	-7	1	49
133773	0.0194174757281553	0.0465116279069767	0.037037037037037	0.0357142857142857	0.0158730158730159	0.117647058823529	0	0.2	0.04	0	0	0.137931034482759	0	0.416666666666667	0	0.142857142857143	-7	1	49
133774	0	0.0930232558139535	0.111111111111111	0.107142857142857	0.0158730158730159	0.102941176470588	0.0606060606060606	0.24	0.06	0	0.032258064516129	0.241379310344828	0.0909090909090909	0.5	0.222222222222222	0.142857142857143	-7	-1	49
