data_id,ideal_age,wg_age,ws_age
433089,21,NA,23.2
605985,12,12.9,NA
764726,26,NA,27.4
657965,16,16.4,NA
657965,19,NA,21.1
657965,22,NA,22.7
657965,25,NA,26.2
657965,14,13.1,NA
273929,26,NA,26.1
731890,25,NA,25.8
441668,15,15.7,NA
690434,13,14.1,NA
182746,22,NA,23.1
283899,18,18.8,NA
777598,25,NA,25.8
155416,26,NA,28.7
564264,20,21.1,NA
512716,16,17.5,NA
512716,22,NA,23
731478,12,13,NA
731478,15,15.8,NA
382856,14,14.8,NA
382856,17,19,NA
801598,17,18.2,NA
761160,15,15.4,NA
444330,15,16.1,NA
734306,13,13.5,NA
