model,ID,age,ETA_L,ETA_S
sex,134179,16,-1.307,0.027
sex,134180,16,-2.851,-0.487
sex,134181,16,-2.901,-0.484
sex,134182,16,-2.242,-0.442
sex,134183,16,0.073,-0.257
sex,134184,16,-2.882,-0.515
sex,134185,16,-2.66,-0.508
sex,134186,16,-2.595,-0.487
sex,134187,16,-2.722,-0.508
sex,134188,16,-2.598,-0.466
sex,134189,16,-2.741,-0.48
sex,134190,16,-2.585,-0.434
sex,134191,16,-2.805,-0.438
sex,134192,16,-2.595,-0.508
sex,134193,16,-1.791,-0.277
sex,134194,16,-2.836,-0.515
sex,134195,16,-2.376,-0.438
sex,134196,16,-1.568,-0.177
sex,134197,16,-2.516,-0.487
sex,134198,16,-2.64,-0.316
sex,134199,16,-2.744,-0.457
sex,134200,16,-1.938,-0.398
sex,134201,16,-2.837,-0.508
sex,134202,16,-2.906,-0.515
sex,134203,16,-2.66,-0.508
sex,134204,16,-2.671,-0.508
sex,134205,16,-2.735,-0.476
sex,134206,16,-2.725,-0.508
sex,134207,16,-2.873,-0.508
sex,134208,16,-2.641,-0.508
sex,134209,16,-2.03,-0.384
sex,134210,16,-2.857,-0.466
sex,134211,16,-2.772,-0.508
sex,134212,16,-2.763,-0.452
sex,134213,16,-2.487,-0.382
sex,134214,16,-2.849,-0.515
sex,134215,16,-2.829,-0.456
sex,134216,16,-2.431,-0.35
sex,134217,16,-2.928,-0.508
sex,134218,16,-2.86,-0.508
sex,134219,16,-2.396,-0.454
sex,134220,16,-2.197,-0.422
sex,134221,16,-2.389,-0.48
sex,134222,16,-2.405,-0.43
sex,134223,16,-2.736,-0.487
sex,134224,16,-2.881,-0.508
sex,134225,16,-2.908,-0.508
sex,134226,16,-1.622,-0.37
sex,134227,16,-1.997,-0.484
sex,134228,16,-2.609,-0.48
sex,134229,16,-2.313,-0.309
sex,134230,16,-2.642,-0.484
sex,134231,16,-2.098,-0.097
sex,134232,16,-2.92,-0.515
sex,134233,16,-2.799,-0.478
sex,134234,16,-2.272,-0.446
sex,134235,16,-2.727,-0.515
sex,134236,16,-2.931,-0.508
sex,134237,16,-2.22,-0.408
sex,134238,16,-2.759,-0.515
sex,134239,16,-2.561,-0.478
sex,134240,16,-0.612,-0.316
sex,134241,16,-0.209,0.028
sex,134242,16,-2.918,-0.459
sex,134243,16,-2.942,-0.508
sex,134244,16,-2.235,-0.05
sex,134245,16,-2.422,-0.508
sex,134246,16,-2.825,-0.487
sex,134247,16,-2.886,-0.515
sex,134248,16,-2.934,-0.458
sex,134249,16,-2.899,-0.515
sex,134250,16,-2.799,-0.515
sex,134251,16,-2.459,-0.372
sex,134252,16,-2.664,-0.43
sex,134253,16,-1.792,-0.303
sex,134254,16,-2.553,-0.466
sex,134255,16,-2.228,-0.402
sex,134256,16,-2.731,-0.466
sex,134257,16,-1.706,-0.508
sex,134258,16,-2.762,-0.346
sex,134259,16,-2.459,-0.43
sex,134260,16,-2.882,-0.515
sex,134261,16,-2.729,-0.487
sex,134262,16,-2.732,-0.515
sex,134263,16,-1.292,-0.221
sex,134264,16,-2.015,-0.508
sex,134265,16,-2.712,-0.508
sex,134266,16,-0.184,0.026
sex,134267,16,-2.23,-0.515
sex,134268,16,-2.663,-0.466
sex,134269,16,-2.566,-0.508
sex,134270,16,-2.356,-0.508
sex,134271,16,-1.854,-0.262
sex,134272,16,-2.886,-0.48
sex,134273,16,-1.55,-0.438
sex,134274,16,-1.775,-0.066
sex,134275,16,2.065,0.616
sex,134276,16,-2.118,-0.458
sex,134277,16,-2.738,-0.515
sex,134278,16,-2.68,-0.515
sex,134279,16,-2.669,-0.48
sex,134280,16,-2.73,-0.515
sex,134281,16,-2.815,-0.515
sex,134282,16,-2.665,-0.378
sex,134283,16,-2.86,-0.515
sex,134284,16,-2.201,-0.438
sex,134285,16,-2.884,-0.476
sex,134286,16,-2.499,-0.448
sex,134287,16,-2.886,-0.515
sex,134288,16,-1.746,-0.515
sex,134289,16,-2.744,-0.487
sex,134290,16,-2.583,-0.515
sex,134291,16,-2.658,-0.376
sex,134292,16,-2.236,-0.487
sex,134293,16,-2.515,-0.508
sex,134294,16,-2.909,-0.515
sex,134295,16,-2.809,-0.508
sex,134296,16,-2.792,-0.487
sex,134297,16,-2.419,-0.449
sex,134298,16,-1.12,-0.431
sex,134299,16,-2.66,-0.386
sex,134300,16,-2.536,-0.515
sex,134301,16,-1.674,-0.248
sex,134302,16,-2.808,-0.515
sex,134303,16,-2.585,-0.452
sex,134304,16,-2.433,-0.452
sex,134305,16,-2.65,-0.379
sex,134306,16,-2.096,-0.342
sex,134307,16,-2.649,-0.487
sex,134308,16,-1.984,-0.436
sex,134309,16,-2.8,-0.48
sex,134310,16,-2.681,-0.458
sex,134311,16,-2.919,-0.515
sex,134312,17,-2.881,-0.563
sex,134313,16,-2.354,-0.267
sex,134314,16,-2.285,-0.243
sex,134315,16,-2.807,-0.408
sex,134316,16,-2.633,-0.48
sex,134317,16,-2.172,-0.429
sex,134318,16,-2.729,-0.464
sex,134319,16,-2.873,-0.458
sex,134320,16,-2.802,-0.515
sex,134321,16,-2.791,-0.508
sex,134322,16,-2.689,-0.508
sex,134323,16,-1.304,0.161
sex,134324,16,-0.879,-0.367
sex,134325,16,-2.707,-0.466
sex,134326,16,-1.63,-0.296
sex,134327,16,-2.443,-0.386
sex,134328,16,-2.657,-0.458
sex,134329,16,0.401,0.634
sex,134330,16,-2.873,-0.515
sex,134331,16,-2.522,-0.478
sex,134332,16,-2.836,-0.515
sex,134333,16,-0.673,-0.178
sex,134334,16,-2.363,-0.48
sex,134335,16,-2.478,-0.448
sex,134336,16,-2.434,-0.48
sex,134337,16,-1.979,-0.206
sex,134338,16,-2.207,-0.372
sex,134339,16,-0.332,-0.126
sex,134340,16,-2.818,-0.452
sex,134341,16,-2.802,-0.515
sex,134342,16,-1.69,-0.351
sex,134343,16,-2.598,-0.448
sex,134344,16,-2.063,-0.461
sex,134345,16,-2.454,-0.149
sex,134346,16,-2.737,-0.515
sex,134347,16,-2.444,-0.466
sex,134348,16,-2.722,-0.515
sex,134349,16,-2.772,-0.515
sex,134350,16,-2.103,-0.45
sex,134351,16,-2.481,-0.508
sex,134352,16,-2.551,-0.508
sex,134353,16,-2.726,-0.357
sex,134354,16,-2.264,-0.41
sex,134355,16,-2.234,-0.27
sex,134356,16,-1.981,-0.276
sex,134357,16,-1.973,-0.45
sex,134358,16,-0.632,-0.137
sex,134359,16,-2.843,-0.515
sex,134360,16,-2.775,-0.452
sex,134361,16,-2.744,-0.515
sex,134362,16,-0.669,-0.148
sex,134363,16,-2.594,-0.452
sex,134364,16,-2.918,-0.515
sex,134365,28,1.347,0.075
sex,134366,28,2.367,0.798
sex,134367,28,2.853,1.236
sex,134368,28,-2.834,-1.085
sex,134369,28,1.002,0.644
sex,134370,28,0.874,0.557
sex,134371,28,2.559,2.887
sex,134372,28,2.592,1.837
sex,134373,28,2.577,2.117
sex,134374,28,2.683,0.678
sex,134375,28,0.39,0.96
sex,134376,28,3.192,3.444
sex,134377,28,2.037,1.107
sex,134378,28,3.128,2.608
sex,134379,28,3.064,2.662
sex,134380,28,2.098,2.449
sex,134381,28,0.989,-0.342
sex,134382,28,1.759,0.784
sex,134383,28,2.509,0.556
sex,134384,28,1.106,1.023
sex,134385,28,3.144,1.433
sex,134386,28,2.37,1.354
sex,134387,28,3.07,3.129
sex,134388,28,1.254,-0.442
sex,134389,28,2.224,1.376
sex,134390,28,3.07,2.852
sex,134391,28,2.946,3.332
sex,134392,28,0.732,0.295
sex,134393,28,1.339,0.492
sex,134394,28,2.852,0.172
sex,134395,28,1.585,0.89
sex,134396,28,2.081,2.083
sex,134397,28,1.587,0.234
sex,134398,28,1.142,0.857
sex,134399,28,1.944,1.045
sex,134400,28,-1.147,-0.841
sex,134401,28,-1.041,-0.593
sex,134402,28,2.083,1.902
sex,134403,28,3.133,2.673
sex,134404,28,2.621,2.02
sex,134405,28,2.178,1.461
sex,134406,28,3.297,3.488
sex,134407,28,2.925,1.59
sex,134408,28,1.431,1.335
sex,134409,28,3.201,3.022
sex,134410,28,2.444,0.983
sex,134411,28,-0.016,-0.24
sex,134412,28,1.995,1.236
sex,134413,28,-1.585,-0.714
sex,134414,28,2.427,-0.051
sex,134415,28,3.297,3.714
sex,134416,28,0.231,-0.182
sex,134417,28,3.297,3.569
sex,134418,28,1.204,0.48
sex,134419,28,1.133,-0.138
sex,134420,28,-0.648,-0.455
sex,134421,28,2.289,1.165
sex,134422,28,3.146,3.52
sex,134423,28,2.058,2.403
sex,134424,28,2.868,1.602
sex,134425,28,2.662,1.544
sex,134426,28,-0.264,-0.274
sex,134427,28,0.568,0.02
sex,134428,28,3.299,3.573
sex,134429,28,1.89,1.522
sex,134430,28,2.698,2.063
sex,134431,28,2.377,0.45
sex,134432,28,2.282,0.818
sex,134433,28,2.315,1.731
sex,134434,28,1.563,0.628
sex,134435,28,2.163,0.393
sex,134436,28,-0.281,-0.349
sex,134437,28,1.59,1.285
sex,134438,28,2.533,2.262
sex,134439,28,3.173,2.716
sex,134440,28,3.288,3.556
sex,134441,28,2.712,2.945
sex,134442,28,2.779,3.094
sex,134443,28,1.279,0.062
sex,134444,28,2.52,1.109
sex,134445,28,3.076,3.288
sex,134446,28,3.038,3.257
sex,134447,28,2.072,2.097
sex,134448,28,3.194,3.515
sex,134449,28,0.892,-0.569
sex,134450,28,1.054,1.156
sex,134451,28,2.869,1.937
sex,134452,28,0.792,0.302
sex,134453,28,2.003,0.459
sex,134454,28,2.969,3.202
sex,134455,28,2.957,0.844
sex,134456,28,2.545,2.811
sex,134457,28,3.282,3.07
sex,134458,28,2.955,3.268
sex,134459,28,3.297,3.19
sex,134460,28,-0.29,-0.699
sex,134461,28,1.929,0.952
sex,134462,28,1.559,0.902
sex,134463,28,0.484,0.336
sex,134464,28,3.027,2.22
sex,134465,28,0.833,-0.479
sex,134466,28,1.612,0.776
sex,134467,28,-0.312,-0.954
sex,134468,28,3.177,2.808
sex,134469,28,1.129,0.586
sex,134470,28,1.958,0.539
sex,134471,28,3.058,3.014
sex,134472,28,-0.18,-0.783
sex,134473,28,2.726,2.735
sex,134474,28,3.244,3.556
sex,134475,28,-1.129,-0.846
sex,134476,28,3.244,3.496
sex,134477,28,2.614,2.959
sex,134478,28,3.293,3.466
sex,134479,28,2.188,0.374
sex,134480,28,-2.525,-1.027
sex,134481,28,2.17,1.288
sex,134482,28,2.851,2.295
sex,134483,28,3.299,3.573
sex,134484,28,2,-0.389
sex,134485,28,2.633,2.954
sex,134486,28,2.744,1.406
sex,134487,28,1.83,1.01
sex,134488,28,0.372,-0.521
sex,134489,28,2.803,2.491
sex,134490,28,-0.035,-0.311
sex,134491,28,-1.002,-0.519
sex,134492,28,2.703,1.841
sex,134493,28,1.299,0.101
sex,134494,28,2.942,3.337
sex,134495,28,3.04,3.116
sex,134496,28,-2.296,-1.011
sex,134497,28,2.61,1.888
sex,134498,28,3.178,2.657
sex,134499,28,2.436,1.924
sex,134500,28,1.169,0.849
sex,134501,28,0.464,0.22
sex,134502,28,3.023,3.527
sex,134503,28,3.113,3.577
sex,134504,28,1.495,0.555
sex,134505,28,2.863,3.306
sex,134506,28,1.158,0.584
sex,134507,28,3.207,3.545
sex,134508,28,3.173,1.108
sex,134509,28,3.164,2.892
sex,134510,28,0.93,0.045
sex,134511,28,-0.259,-0.462
sex,134512,28,3.279,2.904
sex,134513,28,2.154,0.449
sex,134514,28,2.325,1.271
sex,134515,28,1.396,-0.439
sex,134516,28,2.597,2.972
sex,134517,28,3.129,2.66
sex,134518,28,2.921,3.014
sex,134519,28,2.163,2.541
sex,134520,28,1.37,0.819
sex,134521,28,2.194,0.765
sex,134522,28,2.934,1.964
sex,134523,28,1.147,-0.433
sex,134524,28,2.254,0.838
sex,134525,28,3.299,2.995
sex,134526,28,3.257,2.539
sex,134527,28,2.132,0.779
sex,134528,28,1.367,1.017
sex,134529,28,-1.358,0.323
sex,134530,28,2.136,2.178
sex,134531,28,1.336,0.359
sex,134532,28,-0.593,-0.451
sex,134533,28,3.288,3.566
sex,134534,28,2.471,2.787
sex,134535,28,2.234,2.53
sex,134536,28,1.617,-0.151
sex,134537,28,1.553,-0.144
sex,134538,28,3.161,0.967
sex,134539,28,2.558,0.911
sex,134540,28,2.455,1.411
sex,134541,28,2.82,1.293
sex,134542,28,-2.059,-0.89
sex,134543,28,3.164,2.456
sex,134544,28,2.543,1.258
sex,134545,28,-1.327,-0.431
sex,134546,28,1.532,0.725
sex,134547,28,1.415,0.532
sex,134548,28,3.218,3.545
sex,134549,28,2.976,2.128
sex,134550,28,3.167,3.583
sex,134551,28,2.494,1.439
sex,134552,28,2.704,2.288
sex,134553,28,3.299,3.752
sex,134554,28,2.287,-0.415
sex,134555,28,2.137,2.687
sex,134556,28,-0.864,-0.831
sex,134557,28,3.17,3.133
sex,134558,28,3.082,3.195
sex,134559,28,3.082,2.173
sex,134560,28,2.64,2.166
sex,134561,28,1.837,1.188
sex,134562,28,3.095,1.024
sex,134563,28,2.26,0.489
sex,134564,28,2.213,1.22
sex,134565,28,3.157,-0.042
sex,134566,28,1.373,0.675
sex,134567,28,2.478,2.043
sex,134568,28,1.449,0.341
sex,134569,28,1.08,0.759
sex,134570,28,3.297,2.812
sex,134571,28,2.5,3.292
sex,134572,28,1.713,1.184
sex,134573,28,2.879,1.905
sex,134574,28,2.955,3.256
sex,134575,28,3.067,2.936
sex,134576,28,-0.714,0.205
sex,134577,28,0.05,1.021
sex,134578,28,3.132,2.729
sex,134579,28,-0.767,-0.613
sex,134580,28,3.184,3.252
sex,134581,28,-1.9,-0.952
sex,134582,28,2.241,2.238
sex,134583,28,2.416,1.381
sex,134584,28,2.128,1.271
sex,134585,28,2.91,2.268
sex,134586,28,3.218,3.196
sex,134587,28,-0.421,-0.755
sex,134588,28,1.5,0.438
sex,134589,28,3.297,3.561
sex,134590,28,0.914,0.842
sex,134591,28,-0.294,-0.808
sex,134592,28,3.12,2.547
sex,134593,28,2.529,1.346
sex,134594,28,2.034,1.211
sex,134595,28,2.776,2.081
sex,134596,28,0.453,-0.049
sex,134597,28,-0.664,-0.887
sex,134598,28,3.134,2.584
sex,134599,28,3.025,2.325
sex,134600,28,2.416,1.081
sex,134601,28,2.584,2.3
sex,134602,28,0.982,0.087
sex,134603,28,2.175,2.766
sex,134604,28,1.592,0.714
sex,134605,28,3.207,3.306
sex,134606,28,3.183,3.436
sex,134607,28,3.127,2.157
sex,134608,28,2.36,2.135
sex,134609,28,2.387,2.258
sex,134610,28,2.829,2.598
sex,134611,28,-0.136,-0.766
sex,134612,28,1.613,0.099
sex,134613,28,0.156,-0.536
sex,134614,28,3.056,2.356
sex,134615,28,3.207,2.972
sex,134616,28,2.539,2.491
sex,134617,28,1.732,2.011
sex,134618,28,1.74,0.718
sex,134619,28,0.699,-0.197
sex,134620,28,-0.228,-0.371
sex,134621,28,2.789,1.094
sex,134622,28,1.906,1.458
sex,134623,28,0.771,0.753
sex,134624,28,2.967,2.42
sex,134625,28,-2.367,-0.634
sex,134626,28,3.069,2.318
sex,134627,28,2.752,1.923
sex,134628,28,2.567,1.354
sex,134629,28,1.701,0.514
sex,134630,28,1.417,0.48
sex,134631,28,1.772,0.783
sex,134632,28,0.44,-0.269
sex,134633,28,1.765,1.024
sex,134634,28,2.745,3.2
sex,134635,28,0.642,0.135
sex,134636,28,3.013,2.547
sex,134637,28,3.299,3.187
sex,134638,28,2.123,1.831
sex,134639,28,3.029,2.825
sex,134640,28,3.254,3.569
sex,134641,28,-0.521,-0.35
sex,134642,28,2.893,2.156
sex,134643,28,2.443,2.107
sex,134644,28,0.449,-0.206
sex,134645,28,2.91,1.8
sex,134646,28,2.242,0.394
sex,134647,28,1.626,0.362
sex,134648,28,2.505,2.977
sex,134649,28,1.775,-0.304
sex,134650,28,1.571,0.91
sex,134651,28,3.107,3.219
sex,134652,28,2.183,1.503
sex,134653,28,1.782,1.813
sex,134654,28,2.066,2.524
sex,134655,28,2.174,2.662
sex,134656,28,2.464,1.659
sex,134657,28,-1.851,-0.882
sex,134658,28,3.129,1.974
sex,134659,28,2.872,2.62
sex,134660,28,2.952,2.755
sex,134661,28,2.154,1.806
sex,134662,28,2.442,1.932
sex,134663,28,3.297,2.011
sex,134664,28,1.159,0.761
sex,134665,28,1.362,1.791
sex,134666,28,2.733,2.955
sex,134667,28,-0.87,-1.012
sex,134668,28,1.61,0.048
sex,134669,28,1.565,0.179
sex,134670,28,1.918,2.198
sex,134671,28,2.859,2.209
sex,134672,28,2.543,1.435
sex,134673,28,1.115,0.448
sex,134674,28,2.62,2.658
sex,134675,28,3.226,1.411
sex,134676,28,-0.267,-0.19
sex,134677,28,-0.42,-0.334
sex,134678,28,2.534,2.256
sex,134679,28,0.561,0.141
sex,134680,28,1.853,1.082
sex,134681,28,1.673,1.114
sex,134682,28,2.763,1.601
sex,134683,28,3.018,1.99
sex,134684,28,0.716,-0.183
sex,134685,28,3.299,3.388
sex,134686,28,2.606,2.351
sex,134687,28,2.287,2.181
sex,134688,28,-0.781,-0.741
sex,134689,28,3.297,3.061
sex,134690,28,3.276,3.589
sex,134691,28,-0.262,0.033
sex,134692,28,2.928,2.207
sex,134693,28,2.714,1.114
sex,134694,28,2.83,2.742
sex,134695,28,3.063,1.762
sex,134696,28,2.826,1.166
sex,134697,28,1.226,0.423
sex,134698,28,1.853,0.533
sex,134699,28,2.806,1.633
sex,134700,28,1.032,-0.119
sex,134701,28,-0.589,3.623
sex,134702,28,2.176,1.439
sex,134703,28,2.159,1.403
sex,134704,28,2.96,2.692
sex,134705,28,1.84,0.326
sex,134706,28,1.325,0.843
sex,134707,28,3.246,3.551
sex,134708,28,1.862,0.198
sex,134709,28,2.493,1.544
sex,134710,28,1.087,0.093
sex,134711,28,2.065,2.01
sex,134712,28,1.651,1.25
sex,134713,28,-0.084,0.549
sex,134714,28,2.925,2.552
sex,134715,28,1.272,-0.028
sex,134716,28,0.894,-0.162
sex,134717,28,3.297,3.566
sex,134718,28,2.779,0.219
sex,134719,28,2.319,1.621
sex,134720,28,2.284,3.256
sex,134721,28,2.964,1.975
sex,134722,28,1.947,0.28
sex,134723,28,0.017,-0.006
sex,134724,28,3.068,3.157
sex,134725,28,2.609,1.689
sex,134726,28,2.895,2.903
sex,134727,28,-2.881,-1.064
sex,134728,28,0.617,0.415
sex,134729,28,1.027,-0.11
sex,134730,28,2.143,0.849
sex,134731,28,1.469,0.695
sex,134732,28,2.434,1.276
sex,134733,28,0.417,0.728
sex,134734,28,2.521,1.039
sex,134735,28,2.247,2.4
sex,134736,28,2.937,1.837
sex,134737,28,2.214,0.433
sex,134738,28,1.219,2.306
sex,134739,28,1.153,-0.252
sex,134740,28,2.996,2.359
sex,134741,28,2.915,3.343
sex,134742,28,2.7,2.085
sex,134743,28,2.14,1.578
sex,134744,28,-0.569,-0.721
sex,134745,28,-2.713,-1.092
sex,134746,28,0.531,-0.395
sex,134747,28,3.127,3.262
sex,134748,28,-0.861,-0.76
sex,134749,28,3.176,3.603
sex,134750,28,2.071,0.786
sex,134751,28,2.932,3.36
sex,134752,28,1.569,-0.156
sex,134753,28,0.941,-0.704
sex,134754,28,2.582,2.213
sex,134755,28,3.111,2.891
sex,134756,28,2.519,2.299
sex,134757,28,-0.878,-0.454
sex,134758,28,1.37,0.774
sex,134759,28,2.3,2.692
sex,134760,28,2.44,2.037
sex,134761,28,1.925,1.215
sex,134762,28,-0.459,-0.447
sex,134763,28,0.896,-0.049
sex,134764,28,2.086,0.684
sex,134765,28,2.707,2.821
sex,134766,28,1.125,0.359
sex,134767,28,3.177,2.456
sex,134768,28,2.671,1.775
sex,134769,28,2.615,1.492
sex,134770,28,1.345,1.735
sex,134771,28,3.242,3.371
sex,134772,28,2.704,1.485
sex,134773,28,0.424,0.487
sex,134774,28,2.363,1.779
sex,134775,28,2.351,1.118
sex,134776,28,1.269,0.582
sex,134777,28,0.987,-0.433
sex,134778,28,2.71,1.739
sex,134779,28,1.121,-0.344
sex,134780,28,1.542,0.905
sex,134781,28,2.209,1.491
sex,134782,28,1.279,0.553
sex,134783,28,1.56,-0.047
sex,134784,28,1.791,1.12
sex,134785,28,2.347,1.592
sex,134786,28,2.613,1.845
sex,134787,28,1.254,0.011
sex,134788,28,1.411,-0.231
sex,134789,28,-0.157,0.129
sex,134790,28,-0.309,-0.271
sex,134791,28,0.034,0.295
sex,134792,28,2.587,2.834
sex,134793,28,1.792,0.339
sex,134794,28,2.825,2.567
sex,134795,28,0.237,-0.282
sex,134796,28,1.581,0.39
sex,134797,28,1.789,0.131
sex,134798,28,3.106,3.537
sex,134799,28,0.225,0.189
sex,134800,28,-0.913,-0.865
sex,134801,28,2.464,1.666
sex,134802,28,2.708,1.94
sex,134803,28,2.982,1.066
sex,134804,28,2.515,0.681
sex,134805,28,1.911,0.927
sex,134806,28,1.748,1.394
sex,134807,28,3.191,2.493
sex,134808,28,2.145,-0.038
sex,134809,28,2.876,0.922
sex,134810,28,1.981,1.565
sex,134811,28,3.156,3.405
sex,134812,28,3.262,3.476
sex,134813,28,2.953,1.691
sex,134814,28,2.059,0.585
sex,134815,28,2.798,2.863
sex,134816,28,2.572,1.516
sex,134817,28,2.026,0.946
sex,134818,28,1.523,0.344
sex,134819,28,2.556,0.984
sex,134820,28,0.569,0.671
sex,134821,28,-2.194,-0.913
sex,134822,28,-1.539,-0.865
sex,134823,28,2.099,0.958
sex,134824,28,-2.442,-1.03
sex,134825,28,0.126,0.109
sex,134826,28,-1.497,-0.999
sex,134827,28,2.366,0.852
sex,134828,28,2.291,0.711
sex,134829,28,3.037,1.181
sex,134830,28,3.151,3.012
sex,134831,28,0.455,-0.168
sex,134832,28,2.426,2.858
sex,134833,28,-0.127,-0.21
sex,134834,28,2.455,1.762
sex,134835,28,2.887,1.846
sex,134836,28,2.843,3.372
sex,134837,28,-2.149,-0.903
sex,134838,28,0.892,-0.378
sex,134839,28,3.106,2.706
sex,134840,28,1.388,0.78
sex,134841,28,2.882,2.118
sex,134842,28,0.682,-0.075
sex,134843,28,2.71,2.278
sex,134844,28,1.36,0.477
sex,134845,28,1.442,2.13
sex,134846,28,3.06,2.368
sex,134847,28,-0.035,-0.522
sex,134848,28,2.396,1.271
sex,134849,28,2.318,1.653
sex,134850,28,1.735,0.283
sex,134851,28,1.891,1.389
sex,134852,28,0.613,-0.264
sex,134853,28,2.985,2.954
sex,134854,28,2.064,1.518
sex,134855,28,1.761,-0.001
sex,134856,28,1.971,0.407
sex,134857,28,1.528,0.506
sex,134858,28,1.667,0.478
sex,134859,28,2.382,1.936
sex,134860,28,-0.437,-0.12
sex,134861,28,1.687,0.513
sex,134862,28,3.109,3.53
sex,134863,28,3.24,2.72
sex,134864,28,1.78,1.456
sex,134865,28,1.76,0.551
sex,134866,28,2.093,0.395
sex,134867,28,0.988,0.471
sex,134868,28,1.771,1.149
sex,134869,28,1.727,1.6
sex,134870,28,1.741,1.475
sex,134871,28,3.104,1.809
sex,134872,28,3.066,3.069
sex,134873,28,2.971,2.339
sex,134874,28,0.541,0.638
sex,134875,28,2.365,0.942
sex,134876,28,1.937,1.289
sex,134877,28,1.339,-0.063
sex,134878,28,3.186,0.792
sex,134879,28,3.161,2.298
sex,134880,28,2.596,2.009
sex,134881,28,1.636,1.005
sex,134882,28,3.024,2.812
sex,134883,28,2.561,1.665
sex,134884,28,3.054,2.036
sex,134885,28,-0.918,0.104
sex,134886,28,1.91,0.546
sex,134887,28,2.51,1.873
sex,134888,28,2.392,2.188
sex,134889,28,1.464,1.014
sex,134890,28,-0.221,0.025
sex,134891,28,2.541,1.748
sex,134892,28,2.997,1.858
sex,134893,28,3.061,3.251
sex,134894,28,3.221,3.548
sex,134895,28,-2.8,-1.004
sex,134896,28,1.464,-0.238
sex,134897,28,2.544,2.028
sex,134898,28,1.102,-0.012
sex,134899,28,2.555,1.953
sex,134900,28,2.128,-0.176
sex,134901,28,1.053,-0.239
sex,134902,28,-0.301,-0.5
sex,134903,28,2.056,0.289
sex,134904,28,2.784,3.25
sex,134905,28,3.068,2.945
sex,134906,28,2.794,2.722
sex,134907,28,0.627,-0.472
sex,134908,28,2.256,2.184
sex,134909,28,3.123,3.34
sex,134910,28,2.369,0.944
sex,134911,28,3.216,2.91
sex,134912,28,2.578,2.099
sex,134913,28,1.042,0.291
sex,134914,28,1.811,0.225
sex,134915,28,3.265,2.165
sex,134916,28,1.958,1.525
sex,134917,28,2.153,2.224
sex,134918,28,2.76,1.497
sex,134919,28,3.29,3.588
sex,134920,28,1.856,0.602
sex,134921,28,0.394,-0.161
sex,134922,28,2.324,1.328
sex,134923,28,-0.71,-0.589
sex,134924,28,3.015,3.279
sex,134925,28,0.631,0.117
sex,134926,28,2.615,2.898
sex,134927,28,1.915,1.756
sex,134928,28,3.299,3.645
sex,134929,28,1.448,0.244
sex,134930,28,0.562,-0.308
sex,134931,28,0.937,-0.59
sex,134932,28,-2.335,-0.947
sex,134933,28,-1.393,-0.61
sex,134934,28,3,0.449
sex,134935,28,1.52,0.034
sex,134936,28,-0.283,-0.384
sex,134937,28,2.302,1.777
sex,134938,28,1.61,0.536
sex,134939,28,1.051,0.821
sex,134940,28,-0.425,-0.425
sex,134941,28,2.458,0.328
sex,134942,28,1.715,0.4
sex,134943,28,2.406,1.094
sex,134944,28,3.082,3.535
sex,134945,28,3.074,0.575
sex,134946,28,1.878,0.112
sex,134947,28,2.892,1.528
sex,134948,28,0.13,-0.568
sex,134949,28,0.512,-0.514
sex,134950,28,1.471,0.434
sex,134951,28,2.768,3.108
sex,134952,28,2.758,1.579
sex,134953,28,2.276,1.882
sex,134954,28,3.205,2.978
sex,134955,28,2.548,1.762
sex,134956,28,2.307,2.125
sex,134957,28,2.167,2.378
sex,134958,28,2.883,3.193
sex,134959,28,2.249,0.802
sex,134960,28,1.575,1.631
sex,134961,28,2.803,2.433
sex,134962,28,2.124,2.71
sex,134963,28,-0.076,0.069
sex,134964,28,1.396,-0.015
sex,134965,29,1.188,0.485
sex,134966,28,1.977,1.611
sex,134967,28,2.028,1.642
sex,134968,28,-1.751,-0.539
sex,134969,28,-0.134,-0.098
sex,134970,28,2.999,2.032
sex,134971,28,-0.524,-0.39
sex,134972,28,2.957,2.865
sex,134973,28,1.87,1.834
sex,134974,28,0.358,-0.552
sex,134975,28,1.212,0.858
sex,134976,28,3.032,2.439
sex,134977,28,1.649,1.262
sex,134978,28,1.82,0.326
sex,134979,28,2.838,2.546
sex,134980,28,1.25,0.659
sex,134981,28,-0.008,0.319
sex,134982,28,2.93,3.154
sex,134983,28,0.244,-0.641
sex,134984,28,0.482,0.709
sex,134985,28,1.71,0.221
sex,134986,28,2.774,2.638
sex,134987,28,1.5,0.82
sex,134988,28,1.716,1.877
sex,134989,28,0.104,0.173
sex,134990,28,3.28,3.574
sex,134991,28,2.645,2.52
sex,134992,28,3.285,3.566
sex,134993,28,1.172,0.672
sex,134994,28,-0.629,-0.24
sex,134995,28,2.857,2.754
sex,134996,28,3.237,2.075
sex,134997,28,3.256,1.359
sex,134998,28,3.29,3.4
sex,134999,28,1.422,0.388
sex,135000,28,1.705,1.125
sex,135001,28,-1.99,-0.951
sex,135002,28,-0.272,-0.363
sex,135003,28,2.507,1.367
sex,135004,28,2.274,0.79
sex,135005,28,2.485,1.21
sex,135006,28,2.178,1.014
sex,135007,28,2.376,2.448
sex,135008,28,1.731,0.945
sex,135009,28,2.88,1.627
sex,135010,28,3.118,2.04
sex,135011,28,2.944,2.979
sex,135012,28,0.627,-0.298
sex,135013,28,1.412,0.434
sex,135014,28,-0.107,-0.469
sex,135015,28,3.154,3.116
sex,135016,28,2.188,1.833
sex,135017,28,2.617,0.061
