ID	L_ACTION	L_ANIMAL	L_BODYP	L_CLOTH	L_DESCRB	L_FOOD	L_ROOMS	L_GAMES	L_HOUSEH	L_LOCATE	L_OUTSDE	L_PEOPLE	L_PLACES	L_SOUNDS	L_TOYS	L_VEHICL	D_AGE_C	D_AGE_C2	D_MALE	D_FIRSTB	D_MOMCOL	D_AGESEX	D_AG2SEX
130073	0	0.0465116279069767	0	0	0.0317460317460317	0.0294117647058824	0	0.16	0	0	0	0.137931034482759	0	0.25	0	0	-6	36	1	1	-1	-6	36
130074	0.300970873786408	0.372093023255814	0.703703703703704	0.392857142857143	0.317460317460317	0.5	0.515151515151515	0.8	0.46	0.230769230769231	0.741935483870968	0.379310344827586	0.363636363636364	0.833333333333333	0.5	0.642857142857143	-4	16	1	1	1	-4	16
130075	0.961165048543689	0.953488372093023	0.962962962962963	0.892857142857143	0.920634920634921	1	0.939393939393939	1	0.98	0.692307692307692	0.903225806451613	0.724137931034483	0.772727272727273	0.916666666666667	1	0.785714285714286	4	16	-1	1	-1	-4	-16
130076	0.766990291262136	1	1	0.857142857142857	0.650793650793651	0.867647058823529	0.939393939393939	0.88	0.9	0.692307692307692	0.870967741935484	0.827586206896552	0.636363636363636	1	0.888888888888889	1	3	9	1	1	-1	3	9
130077	0.058252427184466	0.255813953488372	0.296296296296296	0.0714285714285714	0.0952380952380952	0.235294117647059	0.0909090909090909	0.52	0.14	0.153846153846154	0.161290322580645	0.275862068965517	0.136363636363636	0.583333333333333	0.333333333333333	0.357142857142857	3	9	-1	-1	1	-3	-9
130078	0.805825242718447	0.790697674418605	0.777777777777778	0.75	0.761904761904762	0.808823529411765	0.909090909090909	0.92	0.86	0.769230769230769	1	0.793103448275862	0.590909090909091	0.666666666666667	0.722222222222222	1	4	16	1	1	1	4	16
130079	0.932038834951456	0.86046511627907	0.925925925925926	0.964285714285714	0.873015873015873	0.941176470588235	0.96969696969697	1	1	0.692307692307692	0.903225806451613	0.793103448275862	0.909090909090909	0.916666666666667	0.944444444444444	0.857142857142857	4	16	-1	-1	1	-4	-16
130080	0.116504854368932	0.302325581395349	0.37037037037037	0.214285714285714	0.0476190476190476	0.294117647058824	0.151515151515152	0.48	0.18	0.115384615384615	0.354838709677419	0.172413793103448	0.227272727272727	0.916666666666667	0.5	0.5	3	9	1	1	1	3	9
130081	0.184466019417476	0.465116279069767	0.62962962962963	0.357142857142857	0.222222222222222	0.220588235294118	0.121212121212121	0.64	0.18	0.192307692307692	0.354838709677419	0.275862068965517	0.227272727272727	0.583333333333333	0.333333333333333	0.571428571428571	3	9	-1	-1	-1	-3	-9
130082	0.689320388349515	0.627906976744186	0.703703703703704	0.642857142857143	0.650793650793651	0.823529411764706	0.696969696969697	0.92	0.74	0.423076923076923	0.774193548387097	0.586206896551724	0.727272727272727	1	0.611111111111111	0.785714285714286	2	4	1	1	1	2	4
130083	0.572815533980582	0.790697674418605	0.666666666666667	0.642857142857143	0.523809523809524	0.676470588235294	0.787878787878788	0.64	0.72	0.576923076923077	0.548387096774194	0.482758620689655	0.454545454545455	0.75	0.777777777777778	0.428571428571429	2	4	-1	1	1	-2	-4
130084	0.174757281553398	0.534883720930233	0.037037037037037	0.25	0.0793650793650794	0.441176470588235	0.151515151515152	0.52	0.22	0.346153846153846	0.225806451612903	0.344827586206897	0.318181818181818	1	0.277777777777778	0.5	2	4	-1	-1	1	-2	-4
130085	0.87378640776699	0.976744186046512	0.814814814814815	0.964285714285714	0.841269841269841	0.867647058823529	0.939393939393939	0.84	0.9	0.846153846153846	0.903225806451613	0.793103448275862	0.727272727272727	1	0.666666666666667	1	2	4	-1	1	1	-2	-4
130086	0.796116504854369	0.906976744186046	0.925925925925926	0.964285714285714	0.841269841269841	0.823529411764706	0.818181818181818	0.92	0.76	0.884615384615385	0.806451612903226	0.655172413793103	0.636363636363636	1	0.888888888888889	1	2	4	-1	1	1	-2	-4
130087	1	0.953488372093023	1	0.964285714285714	0.952380952380952	0.941176470588235	0.96969696969697	1	0.94	0.961538461538462	0.935483870967742	0.96551724137931	0.818181818181818	1	0.888888888888889	1	2	4	-1	-1	1	-2	-4
130088	0.786407766990291	0.813953488372093	0.962962962962963	0.785714285714286	0.650793650793651	0.823529411764706	0.757575757575758	0.84	0.84	0.538461538461538	0.741935483870968	0.586206896551724	0.454545454545455	1	0.666666666666667	0.642857142857143	1	1	-1	1	-1	-1	-1
130089	0.864077669902913	0.627906976744186	1	0.821428571428571	0.571428571428571	0.882352941176471	0.818181818181818	0.96	0.8	0.538461538461538	0.709677419354839	0.655172413793103	0.5	0.75	0.888888888888889	0.714285714285714	2	4	-1	1	-1	-2	-4
