ID	S_CONJ	S_HELPV	S_PRON	S_QUANT	S_QWORDS	S_TIME	S_WF_N	S_WF_V	S_WE_N	S_WE_V	S_COMPLX	L_ACTION	L_ANIMAL	L_BODYP	L_CLOTH	L_DESCRB	L_FOOD	L_ROOMS	L_GAMES	L_HOUSEH	L_LOCATE	L_OUTSDE	L_PEOPLE	L_PLACES	L_SOUNDS	L_TOYS	L_VEHICL	FIRST_B	MALE
130187	0.666666666666667	0	0.92	0.647058823529412	0.857142857142857	0.916666666666667	0.8	0.9	0.0714285714285714	0.129032258064516	0.810810810810811	1	1	0.962962962962963	0.964285714285714	0.984126984126984	0.955882352941177	0.878787878787879	1	0.98	0.846153846153846	1	0.724137931034483	0.818181818181818	1	0.888888888888889	0.928571428571429	1	-1
130188	0.166666666666667	0	0.08	0	0.142857142857143	0	0.4	0.15	0	0.032258064516129	0.135135135135135	0.766990291262136	1	1	1	0.301587301587302	1	0.939393939393939	0.88	1	0.115384615384615	0.774193548387097	0.586206896551724	0.545454545454545	1	1	1	1	-1
130189	0.666666666666667	0.666666666666667	0.64	0.705882352941177	0.714285714285714	0.333333333333333	0.2	0.15	0.0714285714285714	0.161290322580645	0.594594594594595	0.728155339805825	0.720930232558139	0.777777777777778	0.714285714285714	0.571428571428571	0.808823529411765	0.575757575757576	0.92	0.68	0.615384615384615	0.516129032258065	0.551724137931034	0.454545454545455	1	0.722222222222222	0.571428571428571	-1	-1
130190	0.166666666666667	0.571428571428571	0.4	0.705882352941177	0.571428571428571	1	0.4	0.55	0.0714285714285714	0.129032258064516	0.621621621621622	0.902912621359223	0.720930232558139	0.888888888888889	0.928571428571429	0.714285714285714	0.838235294117647	0.96969696969697	0.92	0.86	0.653846153846154	0.903225806451613	0.793103448275862	0.636363636363636	1	0.722222222222222	0.642857142857143	-1	-1
130191	0	0.0952380952380952	0.08	0.117647058823529	0.142857142857143	0	0.2	0.05	0	0	0	0.116504854368932	0.209302325581395	0.185185185185185	0.142857142857143	0.111111111111111	0.323529411764706	0.151515151515152	0.24	0.16	0.153846153846154	0.290322580645161	0.275862068965517	0.181818181818182	0.416666666666667	0.444444444444444	0.285714285714286	1	1
130192	0	0.0476190476190476	0.16	0.0588235294117647	0	0	0.6	0.05	0	0	0.0540540540540541	0.378640776699029	0.511627906976744	0.555555555555556	0.428571428571429	0.333333333333333	0.617647058823529	0.484848484848485	0.48	0.5	0.192307692307692	0.516129032258065	0.448275862068966	0.363636363636364	0.666666666666667	0.611111111111111	0.714285714285714	-1	-1
130193	1	1	1	0.882352941176471	1	0.25	0.6	1	0	0.032258064516129	1	0.990291262135922	0.813953488372093	0.925925925925926	0.892857142857143	0.952380952380952	0.941176470588235	0.96969696969697	1	0.9	0.884615384615385	0.967741935483871	0.931034482758621	0.863636363636364	0.916666666666667	0.944444444444444	0.857142857142857	1	-1
130194	0	0.428571428571429	0.24	0.235294117647059	0.714285714285714	0.0833333333333333	0.4	0.25	0	0.161290322580645	0.432432432432432	0.87378640776699	0.697674418604651	0.814814814814815	0.75	0.777777777777778	0.867647058823529	0.727272727272727	0.76	0.74	0.384615384615385	0.806451612903226	0.689655172413793	0.636363636363636	0.833333333333333	0.944444444444444	0.714285714285714	-1	-1
130195	0	0	0.04	0.0588235294117647	0	0	0.6	0.05	0	0	0	0.213592233009709	0.255813953488372	0.777777777777778	0.5	0.126984126984127	0.455882352941176	0.121212121212121	0.36	0.34	0.153846153846154	0.161290322580645	0.275862068965517	0.272727272727273	0.75	0.444444444444444	0.5	-1	1
130196	0.166666666666667	0.476190476190476	0.64	0.588235294117647	0.428571428571429	0.5	0.4	0.35	0.214285714285714	0	0.432432432432432	0.70873786407767	0.767441860465116	0.888888888888889	0.607142857142857	0.746031746031746	0.779411764705882	0.666666666666667	0.88	0.74	0.538461538461538	0.516129032258065	0.586206896551724	0.454545454545455	0.666666666666667	0.722222222222222	0.785714285714286	1	-1
130197	0	0	0	0.0588235294117647	0	0	0	0	0	0	0	0.058252427184466	0.232558139534884	0.111111111111111	0.142857142857143	0.0476190476190476	0.0882352941176471	0.181818181818182	0.4	0.06	0.0769230769230769	0	0.172413793103448	0.0454545454545455	0.5	0.222222222222222	0.0714285714285714	-1	-1
130198	0	0	0.04	0	0.142857142857143	0	0	0	0	0	0	0.0485436893203883	0.0930232558139535	0.0740740740740741	0.142857142857143	0	0.132352941176471	0.0303030303030303	0.36	0	0	0.0645161290322581	0.137931034482759	0.0454545454545455	0.333333333333333	0.111111111111111	0.0714285714285714	1	-1
130199	0	0	0	0	0	0.0833333333333333	0	0	0	0	0	0	0.0232558139534884	0	0	0	0.0147058823529412	0	0.08	0	0	0	0.137931034482759	0	0.416666666666667	0.0555555555555556	0	1	1
130200	0	0	0.04	0	0	0	0	0	0	0	0	0	0.0232558139534884	0.037037037037037	0	0.0158730158730159	0.0294117647058824	0	0.16	0	0.0384615384615385	0	0.0689655172413793	0	0.25	0.0555555555555556	0	-1	1
130201	0	0	0.08	0.0588235294117647	0.142857142857143	0.0833333333333333	0	0.05	0	0	0	0.0388349514563107	0.27906976744186	0.111111111111111	0.107142857142857	0.0952380952380952	0.308823529411765	0.151515151515152	0.36	0.22	0.153846153846154	0.0645161290322581	0.241379310344828	0.0909090909090909	0.583333333333333	0.222222222222222	0.142857142857143	1	1
