CandID,Candidate_Age,Date_taken,sibling1_age,sibling2_age,sibling3_age,sibling4_age,sibling5_age,sibling6_age
918163,17.9,2015-09-23,4,NA,NA,NA,NA,NA
585671,19.6,2015-09-23,3,NA,NA,NA,NA,NA
817716,17.5,2015-09-23,3,NA,NA,NA,NA,NA
376249,18.2,2015-09-23,4,NA,NA,NA,NA,NA
282429,17.7,2015-09-23,4,NA,NA,NA,NA,NA
440246,17.5,2015-09-23,4,NA,NA,NA,NA,NA
929434,18.2,2015-09-23,12,NA,NA,NA,NA,NA
465286,18.5,2015-09-23,3,NA,NA,NA,NA,NA
565136,19.6,2015-09-23,5.75,3.5,NA,NA,NA,NA
564731,18.6,2015-09-23,21,19,NA,NA,NA,NA
410834,20.2,2015-09-23,7,NA,NA,NA,NA,NA
711962,19,2015-09-23,4,NA,NA,NA,NA,NA
219075,17.2,2015-09-23,3,NA,NA,NA,NA,NA
421702,17.4,2015-09-23,3,NA,NA,NA,NA,NA
877583,17.2,2015-09-23,4,NA,NA,NA,NA,NA
119669,20,2015-09-23,16,NA,NA,NA,NA,NA
903456,18.7,2015-09-23,20,17,7,3,NA,NA
837608,18.4,2015-09-24,7,5,3,NA,NA,NA
937832,19.4,2015-09-24,3,NA,NA,NA,NA,NA
298249,17.1,2015-09-24,3,NA,NA,NA,NA,NA
375590,18.4,2015-09-24,4,NA,NA,NA,NA,NA
161630,19.1,2015-09-24,3,NA,NA,NA,NA,NA
310633,19.9,2015-09-24,3,NA,NA,NA,NA,NA
354244,17.5,2015-09-24,3,NA,NA,NA,NA,NA
324721,19.8,2015-09-24,3,NA,NA,NA,NA,NA
994860,17.4,2015-09-24,4,NA,NA,NA,NA,NA
789857,18.5,2015-09-24,13,11,9,5,NA,NA
284262,20,2015-09-24,3.5,NA,NA,NA,NA,NA
200692,19.7,2015-09-24,3,NA,NA,NA,NA,NA
319767,19.7,2015-09-24,4,NA,NA,NA,NA,NA
177820,20.1,2015-09-24,9,NA,NA,NA,NA,NA
197351,17.3,2015-09-24,16,15,14,NA,NA,NA
233209,17.2,2015-09-24,4,NA,NA,NA,NA,NA
534728,19.1,2015-09-24,0.25,NA,NA,NA,NA,NA
707708,18.4,2015-09-24,3.75,NA,NA,NA,NA,NA
769339,18.9,2015-09-25,3,NA,NA,NA,NA,NA
847385,18.6,2015-09-25,3,NA,NA,NA,NA,NA
796558,20.3,2015-09-25,4,NA,NA,NA,NA,NA
365678,20.6,2015-09-25,6,NA,NA,NA,NA,NA
360539,20.7,2015-09-25,2,1,NA,NA,NA,NA
811137,19.2,2015-09-25,1.5,6,NA,NA,NA,NA
421512,19.3,2015-09-25,14,9,NA,NA,NA,NA
404694,17.5,2015-09-25,4,NA,NA,NA,NA,NA
162115,19.9,2015-09-25,3,NA,NA,NA,NA,NA
160812,19.4,2015-09-25,8,NA,NA,NA,NA,NA
297818,19.7,2015-09-25,6,NA,NA,NA,NA,NA
328948,19.5,2015-09-25,1,NA,NA,NA,NA,NA
453190,18.6,2015-09-25,7,4,NA,NA,NA,NA
219910,19.5,2015-09-25,1,NA,NA,NA,NA,NA
546395,17.9,2015-09-26,14,NA,NA,NA,NA,NA
590316,18,2015-09-26,3,NA,NA,NA,NA,NA
981123,17.5,2015-09-27,10,7,NA,NA,NA,NA
267567,20.1,2015-09-27,8,NA,NA,NA,NA,NA
104827,20.4,2015-09-27,4,NA,NA,NA,NA,NA
220408,17.9,2015-09-27,8,6,4,NA,NA,NA
541075,17.5,2015-09-27,4,NA,NA,NA,NA,NA
358913,19.1,2015-09-28,3,NA,NA,NA,NA,NA
938851,17.9,2015-09-28,3,NA,NA,NA,NA,NA
247770,19.2,2015-09-28,4 months,NA,NA,NA,NA,NA
981880,19.2,2015-09-28,12,12,5,NA,NA,NA
973488,17.6,2015-09-29,9,7,6,5,3,2
606334,18.3,2015-09-29,1,5,3,NA,NA,NA
519883,18.3,2015-09-29,3.5,NA,NA,NA,NA,NA
462138,20.2,2015-09-29,3,newborn,NA,NA,NA,NA
903453,17.5,2015-09-29,3,NA,NA,NA,NA,NA
981886,20.9,2015-09-30,3,NA,NA,NA,NA,NA
319521,20,2015-09-30,8,6,4,NA,NA,NA
835596,17.9,2015-09-30,3.5,NA,NA,NA,NA,NA
648485,20.7,2015-10-01,6,NA,NA,NA,NA,NA
134812,18.9,2015-10-01,2,NA,NA,NA,NA,NA
791467,17.7,2015-10-01,0.1,NA,NA,NA,NA,NA
630365,17.9,2015-10-01,4,4,NA,NA,NA,NA
977589,20,2015-10-01,4,NA,NA,NA,NA,NA
186268,17.4,2015-10-01,3,NA,NA,NA,NA,NA
928478,19,2015-10-01,3,NA,NA,NA,NA,NA
692603,18.7,2015-10-01,10,6,NA,NA,NA,NA
390616,20.9,2015-10-01,7,NA,NA,NA,NA,NA
871967,20.7,2015-10-01,4,NA,NA,NA,NA,NA
920322,17.9,2015-10-01,9,6,NA,NA,NA,NA
504337,19.3,2015-10-01,4,NA,NA,NA,NA,NA
412778,19.6,2015-10-01,5,NA,NA,NA,NA,NA
670435,19.4,2015-10-01,5,4,NA,NA,NA,NA
186785,19.5,2015-10-01,0.25,NA,NA,NA,NA,NA
390785,20.6,2015-10-01,4,NA,NA,NA,NA,NA
540028,20.1,2015-10-01,12,10,9,6,3,NA
482017,17.5,2015-10-01,3,NA,NA,NA,NA,NA
314476,19.1,2015-10-01,5,NA,NA,NA,NA,NA
721019,17.5,2015-10-01,7,NA,NA,NA,NA,NA
512486,21,2015-10-01,6,4,NA,NA,NA,NA
706579,19.7,2015-10-01,4,NA,NA,NA,NA,NA
873887,20.9,2015-10-01,6,NA,NA,NA,NA,NA
201583,17.6,2015-10-01,10,7,NA,NA,NA,NA
635245,17.4,2015-10-01,3,NA,NA,NA,NA,NA
802365,19.5,2015-10-01,9,8,NA,NA,NA,NA
106206,17.9,2015-10-02,4.75,NA,NA,NA,NA,NA
878173,18.8,2015-10-02,13,10,8,NA,NA,NA
113304,20.3,2015-10-02,19,18,16,14,9,NA
290952,20.2,2015-10-02,4,26,28,NA,NA,NA
683740,17.7,2015-10-02,9,NA,NA,NA,NA,NA
272152,20.2,2015-10-03,5,NA,NA,NA,NA,NA
654169,18.7,2015-10-04,7,4.5,NA,NA,NA,NA
933531,17.7,2015-10-05,3,NA,NA,NA,NA,NA
787675,17.5,2015-10-05,1,5,NA,NA,NA,NA
305003,20.5,2015-10-05,6,NA,NA,NA,NA,NA
998543,19.9,2015-10-05,3,NA,NA,NA,NA,NA
